Day,Sleeping,Eating,Class,Homework,Hygiene,Exercise,Chores,Fun
0,472,119,0,0,102,34,48,665
1,384,126,0,0,132,25,64,709
2,645,101,0,0,104,29,145,416
3,362,107,0,0,107,34,127,703
4,638,109,0,0,124,30,133,406
5,503,111,0,0,126,32,85,583
6,528,100,0,0,112,31,141,528
7,418,123,0,258,87,32,126,396
8,419,107,80,340,116,28,46,304
9,478,97,430,140,85,0,77,133
10,449,126,0,344,117,36,87,281
11,311,114,80,241,117,31,44,502
12,536,96,430,0,97,0,49,232
13,522,121,0,195,130,26,113,333
14,436,142,0,295,99,30,145,293
15,302,121,80,328,106,26,51,426
16,463,98,430,132,94,0,62,161
17,475,141,0,352,136,35,73,228
18,270,118,80,254,90,31,66,531
19,511,103,430,0,92,0,42,262
20,376,149,0,230,115,25,106,439
21,450,121,0,261,83,29,129,367
22,334,122,80,333,95,28,66,382
23,517,100,430,158,96,0,79,60
24,443,139,0,346,110,44,69,289
25,328,106,80,258,107,31,67,463
26,495,96,430,0,86,0,50,283
27,411,142,0,234,130,26,106,391
28,464,127,0,260,89,29,140,331
29,279,128,80,353,93,30,68,409
30,531,97,430,133,96,0,77,76
31,474,127,0,304,112,41,65,317
32,411,122,80,255,98,26,57,391
33,556,98,430,0,88,0,32,236
34,501,122,0,191,124,33,116,353
35,395,127,0,299,99,27,123,370
36,353,103,80,331,109,25,64,375
37,399,100,430,171,92,0,81,167
38,426,136,0,305,131,40,66,336
39,280,115,80,268,116,26,41,514
40,563,94,430,0,92,0,59,202
41,617,127,0,210,132,30,105,219
42,409,120,0,296,100,25,122,368
43,302,117,80,332,119,33,68,389
44,468,95,430,166,93,0,60,128
45,394,147,0,335,104,37,79,344
46,251,106,80,297,103,31,69,503
47,426,92,430,0,97,0,56,339
48,412,123,0,237,115,30,128,395
49,469,139,0,261,96,30,133,312
50,357,106,80,334,106,26,68,363
51,378,100,430,175,82,0,77,198
52,382,136,0,325,136,43,79,339
53,359,119,80,248,90,32,43,469
54,431,90,430,0,89,0,32,368
55,401,142,0,182,137,31,121,426
56,403,128,0,297,107,26,139,340
57,245,129,80,318,105,34,68,461
58,387,102,430,159,89,0,66,207
59,392,124,0,312,116,39,65,392
60,302,117,80,280,90,31,53,487
61,396,102,430,0,99,0,42,371
62,472,136,0,233,100,30,113,356
63,465,116,0,0,128,32,57,642
64,397,128,0,0,110,32,146,627
65,631,129,0,0,117,33,71,459
66,374,109,0,0,110,27,83,737
67,462,109,0,0,106,33,97,633
68,575,105,0,0,101,25,86,548
69,604,124,0,0,125,30,110,447
70,424,134,0,265,90,33,126,368
71,398,129,80,342,112,32,46,301
72,419,94,430,159,94,0,82,162
73,364,149,0,329,110,43,86,359
74,469,113,80,293,116,28,47,294
75,380,101,430,0,84,0,40,405
76,647,131,0,219,104,28,121,190
77,449,124,0,271,83,30,144,339
78,457,113,80,354,93,30,44,269
79,462,93,430,179,85,0,83,108
80,426,127,0,358,104,44,81,300
81,324,100,80,259,101,31,48,497
82,552,90,430,0,83,0,45,240
83,517,137,0,194,135,29,112,316
84,373,142,0,253,88,25,132,427
85,292,100,80,312,108,29,57,462
86,467,97,430,174,84,0,62,126
87,391,124,0,315,119,41,84,366
88,249,121,80,282,102,29,68,509
89,379,106,430,0,92,0,32,401
90,562,129,0,228,125,26,107,263
91,429,124,0,240,106,27,142,372
92,341,122,80,315,102,26,53,401
93,360,99,430,137,84,0,62,268
94,371,123,0,340,120,44,65,377
95,443,116,80,242,107,28,52,372
96,376,106,430,0,83,0,48,397
97,433,124,0,200,119,29,102,433
98,477,122,0,244,97,34,136,330
99,277,105,80,358,100,28,50,442
100,422,94,430,156,99,0,73,166
101,363,143,0,330,103,36,87,378
102,275,125,80,270,97,33,41,519
103,389,90,430,0,91,0,50,390
104,367,140,0,233,133,33,124,410
105,405,120,0,287,98,28,139,363
106,299,126,80,354,97,30,65,389
107,376,100,430,134,89,0,75,236
108,428,142,0,307,111,41,83,328
109,324,114,80,271,112,31,49,459
110,641,99,430,0,94,0,55,121
111,382,129,0,209,110,33,120,457
112,428,136,0,242,96,33,137,368
113,257,127,80,339,90,25,64,458
114,515,93,430,143,87,0,67,105
115,368,121,0,357,133,40,76,345
116,374,120,80,244,101,29,54,438
117,644,93,430,0,84,0,39,150
118,412,140,0,192,125,34,116,421
119,444,123,0,0,138,32,119,584
120,363,114,0,0,136,25,47,755
121,475,123,0,0,122,26,87,607
122,389,123,0,0,107,25,51,745
123,464,127,0,0,118,31,77,623
124,551,127,0,0,122,34,84,522
125,466,125,0,0,128,32,81,608
126,648,120,0,0,123,27,42,480
127,620,113,0,0,126,33,136,412
128,365,129,0,0,131,25,75,715
129,448,119,0,0,112,32,83,646
130,517,109,0,0,103,33,146,532
131,569,104,0,0,132,28,140,467
132,504,112,0,0,130,34,77,583
133,600,108,0,0,103,31,112,486
134,590,121,0,0,124,28,106,471
135,485,120,0,0,100,25,105,605
136,455,106,0,0,103,26,113,637
137,456,109,0,0,129,26,45,675
138,559,103,0,0,113,28,47,590
139,459,117,0,0,101,29,54,680
140,631,114,0,0,118,26,72,479
141,645,119,0,0,124,32,131,389
142,378,126,0,0,106,31,90,709
143,606,119,0,0,130,27,104,454
144,393,128,0,0,110,34,97,678
145,522,112,0,0,104,31,72,599
146,385,112,0,0,117,31,66,729
147,581,123,0,0,123,31,146,436
148,593,123,0,0,128,29,55,512
149,562,112,0,0,117,31,107,511
150,416,124,0,0,116,29,98,657
151,372,115,0,0,134,31,114,674
