Month,Sleeping,Eating,Class,Homework,Hygiene,Exercise,Chores,Fun
0,444.32142857142856,117.71428571428571,109.28571428571429,168.53571428571428,108.28571428571428,24.142857142857142,83.46428571428571,384.25
1,432.5357142857143,116.42857142857144,145.71428571428572,219.17857142857142,104.64285714285714,23.0,79.28571428571428,319.2142857142857
2,439.25,118.85714285714285,109.28571428571429,167.89285714285714,110.14285714285714,24.0,85.64285714285714,384.92857142857144
3,430.8928571428571,120.14285714285714,145.71428571428572,228.25,104.64285714285714,22.285714285714285,77.07142857142857,311.0
4,500.17857142857144,117.35714285714286,36.42857142857143,54.357142857142854,113.28571428571429,28.14285714285714,92.39285714285714,497.8571428571429
5,513.6571428571428,113.11428571428571,0.0,0.0,119.14285714285714,29.857142857142854,93.94285714285715,570.2857142857143
6,525.1142857142856,115.02857142857142,0.0,0.0,120.68571428571428,29.657142857142855,94.62857142857143,554.8857142857144
7,509.8285714285715,117.28571428571429,58.28571428571429,90.54285714285713,112.5142857142857,26.8,84.08571428571429,440.65714285714296
8,423.8285714285715,119.14285714285714,145.71428571428572,223.48571428571432,104.8,22.599999999999998,79.62857142857142,320.8
9,435.1428571428571,117.60714285714286,145.71428571428572,222.96428571428572,104.96428571428572,23.142857142857142,79.5,310.9642857142857
10,436.92857142857144,116.17857142857143,109.28571428571429,161.64285714285714,103.85714285714286,24.32142857142857,83.75,404.0357142857143
11,455.1785714285714,114.17857142857142,72.85714285714286,110.60714285714286,112.10714285714286,25.0,83.71428571428571,466.35714285714283
