Day,Sleeping,Eating,Class,Homework,Hygiene,Exercise,Chores,Fun
Sunday,426,148,0,251,100,27,135,353
Monday,298,119,80,351,94,25,62,411
Tuesday,482,91,430,174,100,0,88,75
Wednesday,436,136,0,345,132,38,83,270
Thursday,382,112,80,250,101,34,70,411
Friday,510,106,430,0,81,0,37,276
Saturday,407,149,0,207,124,25,126,402
Sunday,459,148,0,270,108,31,148,276
Monday,263,118,80,332,92,25,56,474
Tuesday,372,102,430,138,96,0,69,233
Wednesday,467,141,0,301,127,37,62,305
Thursday,389,127,80,283,102,30,50,379
Friday,586,110,430,0,97,0,54,163
Saturday,615,134,0,181,133,29,100,248
Sunday,374,122,0,253,89,29,145,428
Monday,244,126,80,351,109,34,61,435
Tuesday,513,90,430,148,97,0,77,85
Wednesday,407,126,0,304,125,41,73,364
Thursday,379,124,80,267,102,27,59,402
Friday,588,99,430,0,95,0,41,187
Saturday,433,147,0,185,124,26,110,415
Sunday,419,120,0,288,102,34,131,346
Monday,302,115,80,356,106,32,60,389
Tuesday,451,100,430,161,96,0,68,134
Wednesday,381,137,0,325,103,40,76,378
Thursday,462,105,80,271,114,27,44,337
Friday,424,102,430,0,95,0,46,343
Saturday,549,141,0,233,122,34,105,256
Sunday,395,141,0,295,88,29,131,361
Monday,246,122,80,340,114,28,40,470
Tuesday,431,107,430,144,95,0,78,155
Wednesday,408,143,0,303,140,38,81,327
Thursday,448,126,80,243,95,35,61,352
Friday,438,105,430,0,84,0,34,349
Saturday,640,148,0,234,138,31,117,132
Sunday,374,126,0,289,109,28,139,375
Monday,348,107,80,318,99,29,61,398
Tuesday,507,96,430,154,83,0,83,87
Wednesday,398,144,0,343,121,45,75,314
Thursday,431,123,80,297,117,26,53,313
Friday,493,96,430,0,95,0,45,281
Saturday,494,134,0,213,112,28,116,343
Sunday,424,125,0,279,97,34,143,338
Monday,264,108,80,355,95,35,50,453
Tuesday,500,101,430,180,83,0,70,76
Wednesday,476,144,0,322,139,35,83,241
Thursday,291,111,80,259,103,29,56,511
Friday,403,102,430,0,81,0,42,382
Saturday,585,140,0,230,106,33,128,218
Sunday,393,149,0,261,103,33,134,367
Monday,261,119,80,334,94,31,48,473
Tuesday,379,90,430,156,80,0,82,223
Wednesday,457,135,0,307,134,37,73,297
Thursday,382,101,80,298,91,34,52,402
Friday,397,101,430,0,90,0,44,378
Saturday,455,140,0,183,102,33,119,408
Sunday,396,126,0,295,108,32,146,337
Monday,415,115,80,357,115,29,50,279
Tuesday,391,91,430,135,88,0,68,237
Wednesday,361,123,0,357,120,44,79,356
Thursday,265,103,80,257,114,29,43,549
Friday,397,110,430,0,94,0,52,357
Saturday,549,140,0,195,106,29,105,316
Sunday,396,141,0,288,80,30,137,368
Monday,321,122,80,305,112,25,51,424
Tuesday,364,101,430,156,81,0,86,222
Wednesday,451,122,0,330,119,40,67,311
Thursday,459,118,80,278,95,34,56,320
Friday,382,93,430,0,91,0,31,413
Saturday,427,123,0,182,128,27,102,451
Sunday,442,140,0,267,100,29,121,341
Monday,263,112,80,323,103,31,47,481
Tuesday,451,107,430,164,85,0,89,114
Wednesday,448,149,0,327,130,37,64,285
Thursday,304,129,80,242,115,35,53,482
Friday,373,91,430,0,83,0,30,433
Saturday,446,140,0,209,136,34,103,372
Sunday,402,127,0,296,91,32,149,343
Monday,418,104,80,313,99,25,68,333
Tuesday,494,96,430,152,99,0,60,109
Wednesday,412,127,0,301,109,39,82,370
Thursday,386,114,80,298,113,29,53,367
Friday,577,95,430,0,97,0,42,199
Saturday,496,143,0,233,133,33,126,276
Sunday,379,141,0,261,97,35,148,379
Monday,409,102,80,313,109,34,55,338
Tuesday,374,95,430,168,91,0,78,204
Wednesday,439,127,0,346,124,44,73,287
Thursday,270,116,80,277,101,31,70,495
Friday,477,93,430,0,86,0,48,306
Saturday,487,140,0,194,139,32,130,318
Sunday,374,125,0,254,108,31,131,417
Monday,389,112,80,344,93,35,66,321
Tuesday,536,103,430,146,95,0,78,52
Wednesday,395,128,0,342,104,41,61,369
Thursday,353,104,80,273,118,28,58,426
Friday,581,102,430,0,80,0,31,216
Saturday,385,129,0,191,134,26,124,451
Sunday,383,136,0,244,105,32,150,390
Monday,326,103,80,329,92,25,42,443
Tuesday,366,91,430,144,85,0,81,243
Wednesday,449,127,0,322,131,45,89,277
Thursday,437,129,80,278,96,32,46,342
Friday,441,99,430,0,88,0,44,338
Saturday,453,129,0,238,121,26,100,373
Sunday,432,145,0,270,94,31,136,332
Monday,362,126,80,321,111,25,66,349
Tuesday,525,90,430,135,85,0,68,107
Wednesday,396,140,0,334,131,38,71,330
Thursday,390,117,80,259,93,28,59,414
Friday,598,91,430,0,86,0,53,182
Saturday,566,144,0,226,125,31,102,246
Sunday,462,147,0,271,84,30,121,325
Monday,257,107,80,306,90,33,54,513
Tuesday,476,99,430,160,83,0,65,127
Wednesday,438,125,0,301,118,45,72,341
Thursday,302,109,80,281,114,28,47,479
Friday,368,106,430,0,85,0,32,419
Saturday,599,127,0,181,135,25,109,264
Sunday,377,134,0,257,95,35,124,418
Monday,378,103,80,347,116,35,55,326
Tuesday,364,94,430,157,84,0,61,250
Wednesday,369,131,0,343,113,35,90,359
Thursday,400,121,80,246,90,35,57,411
Friday,564,99,430,0,88,0,35,224
Saturday,370,132,0,207,139,31,127,434
Sunday,387,147,0,243,107,29,134,393
Monday,399,123,80,357,113,31,52,285
Tuesday,446,104,430,155,90,0,86,129
Wednesday,460,133,0,358,120,35,68,266
Thursday,468,104,80,253,120,31,70,314
Friday,418,96,430,0,98,0,44,354
Saturday,592,144,0,235,136,35,118,180
Sunday,451,121,0,267,94,27,124,356
Monday,480,108,80,311,118,35,67,241
Tuesday,470,103,430,145,99,0,72,121
Wednesday,382,132,0,306,138,40,64,378
Thursday,399,121,80,274,104,34,47,381
Friday,361,104,430,0,84,0,45,416
Saturday,432,143,0,205,126,30,105,399
Sunday,378,144,0,252,109,31,122,404
Monday,276,105,80,305,119,26,49,480
Tuesday,436,105,430,172,82,0,76,139
Wednesday,445,134,0,335,103,38,60,325
Thursday,454,113,80,292,116,26,56,303
Friday,583,102,430,0,88,0,31,206
Saturday,461,122,0,188,138,33,107,391
Sunday,361,133,0,249,88,32,140,437
Monday,395,112,80,351,106,33,46,317
Tuesday,496,110,430,152,95,0,89,68
Wednesday,380,143,0,339,111,36,80,351
Thursday,370,106,80,277,102,26,53,426
Friday,592,99,430,0,90,0,57,172
Saturday,411,145,0,200,117,32,123,412
Sunday,379,131,0,281,85,32,126,406
Monday,266,112,80,340,107,28,61,446
Tuesday,426,103,430,172,81,0,61,167
Wednesday,377,127,0,342,105,42,62,385
Thursday,313,116,80,241,108,34,58,490
Friday,466,102,430,0,92,0,38,312
Saturday,430,147,0,209,130,31,100,393
Sunday,448,136,0,267,107,35,140,307
Monday,372,116,80,322,97,29,57,367
Tuesday,436,91,430,176,96,0,89,122
Wednesday,361,134,0,324,138,41,69,373
Thursday,281,106,80,240,119,25,47,542
Friday,631,98,430,0,85,0,46,150
Saturday,533,134,0,240,101,29,112,291
Sunday,440,136,0,253,87,32,143,349
Monday,324,109,80,303,119,35,62,408
Tuesday,408,107,430,151,98,0,72,174
Wednesday,421,120,0,345,100,40,89,325
Thursday,325,115,80,277,110,25,60,448
Friday,360,105,430,0,97,0,39,409
Saturday,639,129,0,216,107,34,113,202
Sunday,441,142,0,249,95,27,140,346
Monday,447,112,80,329,99,31,45,297
Tuesday,443,108,430,162,96,0,67,134
Wednesday,442,120,0,348,110,41,75,304
Thursday,450,112,80,291,109,32,55,311
Friday,502,108,430,0,93,0,60,247
Saturday,539,127,0,218,128,29,105,294
Sunday,416,138,0,289,96,29,126,346
Monday,248,129,80,348,95,32,58,450
Tuesday,373,94,430,137,98,0,61,247
Wednesday,413,146,0,358,112,41,64,306
Thursday,419,103,80,256,103,32,56,391
Friday,484,99,430,0,97,0,59,271
Saturday,386,143,0,237,118,27,130,399
Sunday,456,144,0,295,108,32,135,270
Monday,359,106,80,301,115,32,56,391
Tuesday,442,94,430,179,90,0,73,132
Wednesday,422,120,0,352,131,45,62,308
Thursday,363,120,80,297,97,31,49,403
Friday,497,93,430,0,95,0,52,273
Saturday,459,134,0,237,126,34,115,335
Sunday,414,138,0,260,101,34,135,358
Monday,366,102,80,321,103,33,48,387
Tuesday,361,104,430,169,92,0,64,220
Wednesday,371,139,0,350,131,41,76,332
